Address;Changed Use;City;Completed Date;Completed Month;Completed Year;Description;Existing Use;Filed Date;Issued Date;Issued Month;Issued Year;Neighborhoods Boundaries;Permit Expiration Date;Permit Number;Permit Type;Proposed Construction Type Description;Proposed Use;Record Id;State;Zipcode;Estimated Cost;Estimated Revised Diff;Filed Issued Days;Issued Completed Days;Issued Completed Years;Issued Expiration Days;Latitude;Longitude;Number of Records;Revised Cost
2558 Mission St,San Francisco,CA,94110;True;San Francisco;22.09.2017;Sep;2017;"partial change of use from mercantile to educational for 7341 sq.ft. for alta vista school. entire floor space shall be ""e"" occupancy. 6 classrms, 3 private offices & 1 storage room. includes fit out of entry lobby, 1 classroom, 2 private offices, 1 faculty louge, 1 multi purpose room. mep & life";retail sales;12.05.2017;4.08.2017;Aug;2017;Mission;19.07.2020;201705126507;additions alterations or repairs;constr_type_1;school;1462991507755;CA;94110;930000;0;84;49;0;1080;37,75602455;-122,419192402;1;930000
1450 Noriega St,San Francisco,CA,94122;True;San Francisco;11.02.2010;Feb;2010;site- parking lot new accessible ramp, gates & parking stepping. exterior- new entry storefront exterior glazing replacement & replace cemenet plaster finish & interior, install 3 single accomodation  toilets, 9 exam rooms, pharmacy, reception/rn stations, office & ancillary spaces, new ceiling/lght;retail sales;2.03.2009;6.03.2009;Mar;2009;Sunset/Parkside;19.02.2012;200903023179;otc alterations permit;wood_frame_5;clinics-medic/dental;1166251122553;CA;94122;920000;0;4;342;1;1080;37,7542482;-122,4795778;1;920000
3135 24th St,San Francisco,CA,94110;True;San Francisco;16.01.2014;Jan;2014;2 story vertical addition. 9 residential unit addition. extension of existing code compliant stairway.;auto repairs;13.11.2007;4.09.2012;Sep;2012;Mission;4.08.2018;200711137944;additions alterations or repairs;wood_frame_5;apartments;1115998206060;CA;94110;900000;2268000;1757;499;2;2160;37,752381;-122,414782667;1;3168000
425 Bryant St,San Francisco,CA,94107;True;San Francisco;10.10.2012;Oct;2012;addition of dwelling unit onto existing artist studio.work includes interior improvements throughout;workshop commercial;14.01.2009;11.09.2009;Sep;2009;Financial District/South Beach;26.08.2012;200901140220;additions alterations or repairs;constr_type_3;1 family dwelling;1162146167322;CA;94107;900000;0;240;1125;3;1080;37,7824552;-122,394033279;1;900000
960 Harrison St,San Francisco,CA,94107;True;San Francisco;4.06.2013;Jun;2013;this project consists of a change of use & an addition to an (e) 2 story commercial building. the addition will include facade work, a seismic upgrade & fire/life safety upgrade of (e)building. the project will demolish the (e) roof & add 3 floors which will contain four- 2 bedroom, 2 bathroom condo;office;27.08.2010;1.08.2011;Aug;2011;South of Market;16.07.2014;201008279681;additions alterations or repairs;constr_type_2;apartments;1216282166180;CA;94107;900000;296839;339;673;2;1080;37,77810515;-122,403374536;1;1196839
222 2nd St,San Francisco,CA,94105;True;San Francisco;22.06.2016;Jun;2016;shoring as a result of the new construction on 222 2nd st project. (reference pa #200711309386s);parking lot;3.05.2013;22.07.2013;Jul;2013;Financial District/South Beach;6.07.2016;201305036122;additions alterations or repairs;constr_type_1;office;1303745165594;CA;94105;900000;0;80;1066;3;1080;37,78647375;-122,398263481;1;900000
1072 Sanchez St,San Francisco,CA,94114;True;San Francisco;2.02.2016;Feb;2016;"interior remodel: convert from 3 units to 2 units. infill (<12') under (e) 3rd flr @ sw corner. lower grade + /-8'-0"" @ rear to create on grade patio @ ground floor. add balcony (@ rear) 3rd floor + 2nd floor bridge over lowe patio to access rear yard.";apartments;21.10.2013;8.07.2014;Jul;2014;Noe Valley;22.06.2017;201310219769;additions alterations or repairs;wood_frame_5;2 family dwelling;1321455249051;CA;94114;900000;100000;260;574;2;1080;37,75197585;-122,429990091;1;1000000
1074 Sanchez St,San Francisco,CA,94114;True;San Francisco;2.02.2016;Feb;2016;"interior remodel: convert from 3 units to 2 units. infill (<12') under (e) 3rd flr @ sw corner. lower grade + /-8'-0"" @ rear to create on grade patio @ ground floor. add balcony (@ rear) 3rd floor + 2nd floor bridge over lowe patio to access rear yard.";apartments;21.10.2013;8.07.2014;Jul;2014;Noe Valley;22.06.2017;201310219769;additions alterations or repairs;wood_frame_5;2 family dwelling;1321456415967;CA;94114;900000;100000;260;574;2;1080;37,75197585;-122,429990091;1;1000000
1441 Ocean Av,San Francisco,CA,94112;True;San Francisco;5.03.2020;Mar;2020;chg of use.renovate(e)1st story.upgrade(e)foundation to support 2 new story addition above (e)1st story.install a new elevator,an auto sprinkler sys,new stairs,interior partitions,acoustical ceilings,liting,access restrooms.upgrade(e)power distribution,plum&mech.sys for new renovation&addition wk.;food/beverage hndlng;6.10.2015;16.11.2017;Nov;2017;Oceanview/Merced/Ingleside;31.10.2020;201510068918;additions alterations or repairs;wood_frame_5;clinics-medic/dental;1398231214777;CA;94112;900000;1100000;772;840;3;1080;37,7240373;-122,457950702;1;2000000
1470 Owens St,San Francisco,CA,94158;True;San Francisco;12.03.2020;Mar;2020;production anger cast piles.;vacant lot;6.02.2019;11.02.2019;Feb;2019;Mission Bay;26.01.2022;201902062205;otc alterations permit;constr_type_2;prkng garage/public;1540459511667;CA;94158;900000;1400000;5;395;1;1080;37,7679934;-122,3942761;1;2300000
300 16th St,San Francisco,CA,94158;True;San Francisco;26.08.2019;Aug;2019;generator for warriors arena;vacant lot;26.07.2019;29.07.2019;Jul;2019;Mission Bay;29.07.2021;201907267108;otc alterations permit;constr_type_1;recreation bldg;1561560430299;CA;94158;900000;0;3;28;0;731;37,7667982;-122,3911807;1;900000
200 Paul Av,San Francisco,CA,94124;True;San Francisco;21.11.2000;Nov;2000;tenant iprovements 5th floor;warehouse,no frnitur;8.05.2000;17.08.2000;Aug;2000;Bayview Hunters Point;17.02.2003;200005089319;additions alterations or repairs;constr_type_1;office;817059182252;CA;94124;900000;1000000;101;96;0;914;37,72345945;-122,397957812;1;1900000
200 Paul Av,San Francisco,CA,94124;True;San Francisco;21.11.2000;Nov;2000;tenant iprovements 5th floor;warehouse,no frnitur;8.05.2000;17.08.2000;Aug;2000;Bayview Hunters Point;17.02.2003;200005089319;additions alterations or repairs;constr_type_1;office;817060182253;CA;94124;900000;1000000;101;96;0;914;37,72345945;-122,397957812;1;1900000
2319 Hyde St,San Francisco,CA,94109;True;San Francisco;1.03.2002;Mar;2002;renovation/remodel project/dwelling merger/garden remodel/seismic/fndtn retrofit;2 family dwelling;7.08.2000;28.02.2001;Feb;2001;Russian Hill;31.08.2003;200008077162;additions alterations or repairs;wood_frame_5;1 family dwelling;826298292502;CA;94109;900000;1100000;205;366;1;914;37,795006;-122,4182159;1;2000000
2323 Hyde St,San Francisco,CA,94109;True;San Francisco;1.03.2002;Mar;2002;renovation/remodel project/dwelling merger/garden remodel/seismic/fndtn retrofit;2 family dwelling;7.08.2000;28.02.2001;Feb;2001;Russian Hill;31.08.2003;200008077162;additions alterations or repairs;wood_frame_5;1 family dwelling;826299347868;CA;94109;900000;1100000;205;366;1;914;37,795006;-122,4182159;1;2000000
800 Market St,San Francisco,CA,94102;True;San Francisco;24.09.2010;Sep;2010;3th, 4th & 5th floors t.i. including new non-structural partitions, all new or revised hvac, electrical, plumbing & life safety work will be fully built engineered. mech & elect in this permit. building fully sprinklered.;office;17.05.2010;15.07.2010;Jul;2010;Financial District/South Beach;29.06.2013;201005172547;otc alterations permit;constr_type_1;school;120637369782;CA;94102;890000;0;59;71;0;1080;37,7741049;-122,420499;1;890000
5642 Mission St,San Francisco,CA,94112;True;San Francisco;28.09.2012;Sep;2012;blk 7098 lots 8 & 9 were merged to become lot 021,old lot #8 now has a storage shed&garage will demo in a sep permit.the (e)bldg on blk 7098 old lot #9 will altered&add on to become a larger building.on 1/fl worship areas,kitchen,multi purpose rm bathrm,bedrm.2/fl to have living  bedrm.;retail sales;4.08.2009;7.01.2011;Jan;2011;Outer Mission;22.12.2013;200908044125;additions alterations or repairs;wood_frame_5;church;1227557474414;CA;94112;880000;215200;521;630;1;1080;37,71096835;-122,44744635;1;1095200
5648 Mission St,San Francisco,CA,94112;True;San Francisco;28.09.2012;Sep;2012;blk 7098 lots 8 & 9 were merged to become lot 021,old lot #8 now has a storage shed&garage will demo in a sep permit.the (e)bldg on blk 7098 old lot #9 will altered&add on to become a larger building.on 1/fl worship areas,kitchen,multi purpose rm bathrm,bedrm.2/fl to have living  bedrm.;retail sales;4.08.2009;7.01.2011;Jan;2011;Outer Mission;22.12.2013;200908044125;additions alterations or repairs;wood_frame_5;church;1227559470596;CA;94112;880000;215200;521;630;1;1080;37,710886;-122,447601;1;1095200
826 Folsom St,San Francisco,CA,94103;True;San Francisco;22.05.2000;May;2000;horizontal/vertical addition;retail sales;6.03.1997;10.07.1998;Jul;1998;South of Market;10.01.2001;;additions alterations or repairs;wood_frame_5;artist live/work;611249165534;CA;94103;880000;320000;491;682;2;915;37,7816446;-122,402061004;1;1200000
3563 21st St,San Francisco,CA,94114;True;San Francisco;6.03.2009;Mar;2009;renovation of (e) structure and addition of 3 (n) dwelling units. (horizontal & vertical addition);1 family dwelling;15.10.2004;29.11.2006;Nov;2006;Noe Valley;29.11.2008;200410156952;additions alterations or repairs;wood_frame_5;apartments;1075961436263;CA;94114;850000;150000;775;828;3;731;37,756420735;-122,427212165;1;1000000
3567 21st St,San Francisco,CA,94114;True;San Francisco;6.03.2009;Mar;2009;renovation of (e) structure and addition of 3 (n) dwelling units. (horizontal & vertical addition);1 family dwelling;15.10.2004;29.11.2006;Nov;2006;Noe Valley;29.11.2008;200410156952;additions alterations or repairs;wood_frame_5;apartments;1075962453678;CA;94114;850000;150000;775;828;3;731;37,756419206;-122,427269294;1;1000000
5 Cyrus Pl,San Francisco,CA,94109;True;San Francisco;22.04.2011;Apr;2011;remodel & addition-horizontal addition at rear. vertical addition of one story above (e) roof. expansion of basement to create one additional story below at current basement level. rear yard variance required.;1 family dwelling;10.11.2008;8.03.2010;Mar;2010;Russian Hill;20.02.2013;200811106167;additions alterations or repairs;wood_frame_5;2 family dwelling;115631160963;CA;94109;850000;-200000;483;410;1;1080;37,7961367;-122,417233921;1;650000
3249 17th St,San Francisco,CA,94110;True;San Francisco;3.11.2016;Nov;2016;change of occupancy from r3 to r2 & a2. site permit-remodel of (e) 1 story structure. altered building will contain 4 stories, consisting of 3 residential units above & ground level restaurant.;2 family dwelling;24.03.2010;17.03.2014;Mar;2014;Mission;1.03.2017;201003248891;additions alterations or repairs;wood_frame_5;apartments;1201194159378;CA;94110;850000;56337;1454;962;2;1080;37,763424;-122,41832;1;906337
362 28th Av,San Francisco,CA,94121;True;San Francisco;18.02.2020;Feb;2020;horizontal rear addition & 2 story vertical addition to an existing single family home with parking for 1 vehicle. convert garage into living space. additional parking (2 spaces). add 2nd unit by  adding 3rd & 4th floor. 3 bedrooms & 3 baths for both units;1 family dwelling;5.07.2017;20.11.2018;Nov;2018;Outer Richmond;4.11.2021;201707051026;additions alterations or repairs;wood_frame_5;2 family dwelling;146927198362;CA;94121;850000;0;503;455;2;1080;37,78257665;-122,487937316;1;850000
355 Mcallister St,San Francisco,CA,94102;True;San Francisco;5.11.2018;Nov;2018;propose project consists of a vertical addition (type v-b) accessory structure of a commercial food service kiosk cafe with a gross area of approxmately 640 sf. this will built on top of (e) below grade structure brooks hall. addition consists of commercial kitchen, staff & patron restroom.;public assmbly other;8.11.2017;5.03.2018;Mar;2018;Tenderloin;17.02.2021;201711083453;additions alterations or repairs;wood_frame_5;food/beverage hndlng;148646081712;CA;94102;850000;0;117;245;0;1080;37,780274776;-122,417825571;1;850000
364 28th Av,San Francisco,CA,94121;True;San Francisco;18.02.2020;Feb;2020;horizontal rear addition & 2 story vertical addition to an existing single family home with parking for 1 vehicle. convert garage into living space. additional parking (2 spaces). add 2nd unit by  adding 3rd & 4th floor. 3 bedrooms & 3 baths for both units;1 family dwelling;5.07.2017;20.11.2018;Nov;2018;Outer Richmond;4.11.2021;201707051026;additions alterations or repairs;wood_frame_5;2 family dwelling;1532406513490;CA;94121;850000;0;503;455;2;1080;37,78257665;-122,487937316;1;850000
560 Haight St,San Francisco,CA,94117;True;San Francisco;9.04.2001;Apr;2001;construct 17 dwelling units in existing bldg;theater;18.03.1998;29.03.1999;Mar;1999;Hayes Valley;29.09.2001;;additions alterations or repairs;wood_frame_5;apartments;66057083060;CA;94117;850000;1048000;376;742;2;915;37,7721848;-122,431510450;1;1898000
151 Liberty St,San Francisco,CA,94110;True;San Francisco;29.05.2018;May;2018;"excavate bsmt to provide/relocate unit 151, add new garage. provide new horizontal & vertical addition @ 1st & 2nd floors.  new vertical addition & 3rd floor. complete structural upgrade throughout. add new kitchen & bathrooms. ** maher: ordinance no# 155-13 required; route to health **";1 family dwelling;11.12.2013;23.12.2014;Dec;2014;Mission;7.12.2017;201312113850;additions alterations or repairs;wood_frame_5;2 family dwelling;1326674161671;CA;94110;825000;0;377;1253;4;1080;37,75732285;-122,424493518;1;825000
153 Liberty St,San Francisco,CA,94110;True;San Francisco;29.05.2018;May;2018;"excavate bsmt to provide/relocate unit 151, add new garage. provide new horizontal & vertical addition @ 1st & 2nd floors.  new vertical addition & 3rd floor. complete structural upgrade throughout. add new kitchen & bathrooms. ** maher: ordinance no# 155-13 required; route to health **";1 family dwelling;11.12.2013;23.12.2014;Dec;2014;Mission;7.12.2017;201312113850;additions alterations or repairs;wood_frame_5;2 family dwelling;1326675364848;CA;94110;825000;0;377;1253;4;1080;37,75732285;-122,424493518;1;825000
2621 Harrison St,San Francisco,CA,94110;True;San Francisco;1.03.2019;Mar;2019;covert 2 story, 2 bedroom, 1 bath residence to 4 story triplex with garage and living space at first floor and 3 flats at upper stories.;1 family dwelling;17.04.2014;13.04.2017;Apr;2017;Mission;28.03.2020;201404173443;additions alterations or repairs;wood_frame_5;apartments;1338928171240;CA;94110;820000;280000;1092;687;2;1080;37,7553761;-122,4119468;1;1100000
1390 Market St,San Francisco,CA,94102;True;San Francisco;28.02.2019;Feb;2019;interior t.i. to existing warm shell. sprinkler system under separate permit.change of use approved from usps to bank under cua2017013413. f/s sprinkler system under seperate permits.;office;12.04.2018;2.07.2018;Jul;2018;Tenderloin;16.06.2021;201804126233;otc alterations permit;constr_type_1;lending institution;1504109469170;CA;94102;812000;0;81;241;1;1080;37,7769667;-122,417640799;1;812000
46 Geary St,San Francisco,CA,94108;True;San Francisco;25.01.2010;Jan;2010;partial tenant improvement - entire building upon completion of umb retrofit. sprinkler under separate permit. change in use s-1 to a-3.;apartments;12.12.2006;24.12.2007;Dec;2007;Financial District/South Beach;24.06.2010;200612129721;additions alterations or repairs;constr_type_3;retail sales;107723369317;CA;94108;800000;400000;377;763;3;913;37,787952125;-122,40423125;1;1200000
435 Duboce Av,San Francisco,CA,94114;True;San Francisco;19.05.2015;May;2015;convert church use portion to residential use by adding 3 residential dwelling units to the bldg. maintaining the current commercial permitted use, increasing parking to meet the sf code requirements (.75 space per dwelling unit). upgrade structural (seismic upgrade),hvac upgrade and mep upgrade.;church;20.03.2008;23.03.2009;Mar;2009;Castro/Upper Market;7.03.2012;200803207576;additions alterations or repairs;wood_frame_5;apartments;1129542157248;CA;94114;800000;410365;368;2248;6;1080;37,769336;-122,429743;1;1210365
505 Beach St,San Francisco,CA,94133;True;San Francisco;31.10.2013;Oct;2013;new restaurant on basement level, raise interior floor to make level, new framing, plumbing, electrical, mechanical for interior.  new outdoor dining area and excavation of existing soil at north east corner. new civil and landscape work for outdoor dining, sewer lateral tie in. new storefront,;retail sales;6.03.2013;10.05.2013;May;2013;North Beach;24.04.2016;201303061660;otc alterations permit;constr_type_3;food/beverage hndlng;129805356205;CA;94133;800000;0;65;174;0;1080;37,8067844;-122,417574757;1;800000
